TestA_0_0, bpnklssc/lhfisqnr/8/8/8/8/ASNABBLR/WWPHFNSK w - - 0 1, None, depth: 10, matchCount: 40, results: 0.0
TestA_0_1, nrhccpqk/rnslfipf/8/8/8/8/RCLHIAWS/APLKWQPB w - - 0 1, None, depth: 10, matchCount: 40, results: 0.0
TestA_0_2, hirfczkf/rhwfcpfw/8/8/8/8/HFBBRIAA/PNQKWPHB w - - 0 1, None, depth: 10, matchCount: 40, results: 5.8129178364778715
TestA_0_3, whwlskfp/cwbqsfsh/8/8/8/8/WPHBWZZS/CNBCZLKA w - - 0 1, None, depth: 10, matchCount: 40, results: 0.0
TestA_0_4, knlrlrbw/bznrwpzp/8/8/8/8/CAIHPPWB/KAWCIWIR w - - 0 1, None, depth: 10, matchCount: 40, results: 10.366568133116983
TestA_0_5, fbzpqwki/lnhnlahz/8/8/8/8/LINFRLRA/SCSABKCI w - - 0 1, None, depth: 10, matchCount: 40, results: 4.619597661759271
TestA_1_0, hncrlzkf/bzcrppfb/8/8/8/8/CAAHRFIA/KAWCHPWN w - - 0 1, TestA_0_4/TestA_0_2, depth: 10, matchCount: 40, results: 0.0
TestA_1_1, lirfqwki/rhwhhacl/8/8/8/8/HCFBRLBN/PNQABKCI w - - 0 1, TestA_0_2/TestA_0_5, depth: 10, matchCount: 40, results: 3.686959082866596
TestA_1_2, kbzplraw/bnhlwpzp/8/8/8/8/LINFPIWB/ACSSLKPR w - - 0 1, TestA_0_5/TestA_0_4, depth: 10, matchCount: 40, results: 15.910859702197056
TestA_2_0, kszplrbw/blwzhpzp/8/8/8/8/AIWBPPNB/KISSCWIR w - - 0 1, TestA_1_2/TestA_0_4, depth: 10, matchCount: 40, results: 0.0
TestA_2_1, knnrczwf/bzlrcpbb/8/8/8/8/CAIIRIAA/KCWAWPHB w - - 0 1, TestA_0_4/TestA_0_2, depth: 10, matchCount: 40, results: 14.13391412085129
TestA_2_2, kfrwlraq/rnwfwpzp/8/8/8/8/HFBPWIWH/PNQSLKPR w - - 0 1, TestA_0_2/TestA_1_2, depth: 10, matchCount: 40, results: 4.619597661759271
TestA_3_0, kbzwchwf/znblcpib/8/8/8/8/LINQNIAA/ACHSWSKB w - - 0 1, TestA_1_2/TestA_2_1, depth: 10, matchCount: 40, results: 8.484525902275111
TestA_3_1, kbnrlrbw/nllzrpzp/8/8/8/8/CWIIPPWB/KACAIWIR w - - 0 1, TestA_2_1/TestA_0_4, depth: 10, matchCount: 40, results: 16.85065846555035
TestA_3_2, kplrlpaw/zbrrwpzn/8/8/8/8/AAIIPHWB/ZIWCLKPR w - - 0 1, TestA_0_4/TestA_1_2, depth: 10, matchCount: 40, results: 4.619597661759271
TestA_4_0, kbwrwrhl/nllzwnzp/8/8/8/8/WCLIPIWA/KSCAIWPR w - - 0 1, TestA_3_1/TestA_1_2, depth: 10, matchCount: 40, results: 15.597317084084978
TestA_4_1, kizpczwf/bchbcpbb/8/8/8/8/LHNARIFF/ASCSWKHB w - - 0 1, TestA_1_2/TestA_2_1, depth: 10, matchCount: 40, results: 4.619597661759271
TestA_4_2, knrwlrpn/bzlprpzp/8/8/8/8/CAPIPPWB/KCWHIWIR w - - 0 1, TestA_2_1/TestA_3_1, depth: 10, matchCount: 40, results: 0.0
TestA_5_0, kcnrbraw/nllwzpsp/8/8/8/8/CWIIPIWB/NAAAPKLC w - - 0 1, TestA_3_1/TestA_1_2, depth: 10, matchCount: 40, results: 4.619597661759271
TestA_5_1, kbfpwshw/bnhlnlzp/8/8/8/8/LINFPIRN/ACSSKIPW w - - 0 1, TestA_1_2/TestA_4_0, depth: 10, matchCount: 40, results: 5.6268125594982275
TestA_5_2, kbwzlrbw/sllzrpzp/8/8/8/8/CCLIPZWW/KSIAIBCR w - - 0 1, TestA_4_0/TestA_3_1, depth: 10, matchCount: 40, results: 5.6268125594982275
TestA_6_0, kbnzzriw/nllnwprp/8/8/8/8/AWIBPIWI/ACCABKQR w - - 0 1, TestA_3_1/TestA_1_2, depth: 10, matchCount: 40, results: 6.796328846633824
TestA_6_1, kbzphrwl/bphlwfzl/8/8/8/8/RINFHIIA/CKSSIWPL w - - 0 1, TestA_1_2/TestA_4_0, depth: 10, matchCount: 40, results: 6.796328846633824
TestA_6_2, kbfbrrnw/nllzrpzp/8/8/8/8/WCLIPPIB/KCSAIWWB w - - 0 1, TestA_4_0/TestA_3_1, depth: 10, matchCount: 40, results: 7.611082415044636
TestA_7_0, knnrlbaw/nilzlpzp/8/8/8/8/CCZIAIWB/PAWLLKPR w - - 0 1, TestA_3_1/TestA_1_2, depth: 10, matchCount: 40, results: 6.159260255167595
TestA_7_1, klzprwhl/bnhbznzp/8/8/8/8/CIIIPFWA/KLSSIWPH w - - 0 1, TestA_1_2/TestA_4_0, depth: 10, matchCount: 40, results: 0.0
TestA_7_2, klrrlrpw/nlbzwpfp/8/8/8/8/WWLIPPWB/WLCIIKAR w - - 0 1, TestA_4_0/TestA_3_1, depth: 10, matchCount: 40, results: 2.339943365014511
