TestD_0_0, bhckzwrq/lncwrfsc/8/8/8/8/RZFQPQAH/FIKHZSPI w - - 0 1, None, depth: 10, matchCount: 100, results: 14.24206856110752
TestD_0_1, ahklpzrh/abhwawsn/8/8/8/8/SSZZFSHN/LAWAQZKZ w - - 0 1, None, depth: 10, matchCount: 100, results: 4.536589143567991
TestD_0_2, nfkhrncp/anqqspqb/8/8/8/8/WIZBRNQQ/FPKRLHHR w - - 0 1, None, depth: 10, matchCount: 100, results: 4.9793173215813615
TestD_0_3, kacwhsrc/ilrlqbfi/8/8/8/8/PLBRRPNN/KBLSABLF w - - 0 1, None, depth: 10, matchCount: 100, results: 0.0
TestD_0_4, hiwknsbh/qcqqpnwr/8/8/8/8/CCFSCBAS/SRQQCKHF w - - 0 1, None, depth: 10, matchCount: 100, results: 17.541377033299522
TestD_0_5, kanfwhab/qhfrhwza/8/8/8/8/CAACWPIN/PQRNKCRF w - - 0 1, None, depth: 10, matchCount: 100, results: 15.465401087189582
TestD_1_0, hihkwwcb/qaqspwza/8/8/8/8/CRFQWPIN/SRQFKFRS w - - 0 1, TestD_0_4/TestD_0_5, depth: 10, matchCount: 100, results: 3.9336777689900884
TestD_1_1, kacfzwrq/qsfrhwrc/8/8/8/8/CAAWAQPH/PPKNRSPI w - - 0 1, TestD_0_5/TestD_0_0, depth: 10, matchCount: 100, results: 5.609775727230996
TestD_1_2, nhckpbbh/ascwpnwr/8/8/8/8/FAFQCBZB/RIKHCSHC w - - 0 1, TestD_0_0/TestD_0_4, depth: 10, matchCount: 100, results: 0.0
TestD_2_0, hipkwhab/qzqqhcwa/8/8/8/8/CCFSCPNS/SQQRKWRF w - - 0 1, TestD_0_4/TestD_0_5, depth: 10, matchCount: 100, results: 0.0
TestD_2_1, kfnfiwrs/whfrraqc/8/8/8/8/NAAPPQIP/HQKNZSCI w - - 0 1, TestD_0_5/TestD_0_0, depth: 10, matchCount: 100, results: 2.8367650859517903
TestD_2_2, brcknsba/lpcwwnwh/8/8/8/8/RZFCHBAS/FIQHIKQF w - - 0 1, TestD_0_0/TestD_0_4, depth: 10, matchCount: 100, results: 0.0
TestD_3_0, hilkwhwb/zcqqhpqa/8/8/8/8/CSRSWPIZ/CFQQKCRF w - - 0 1, TestD_0_4/TestD_0_5, depth: 10, matchCount: 100, results: 4.536589143567991
TestD_3_1, kanfzwrq/rzffrqss/8/8/8/8/LAACPQBH/PQCNKSPR w - - 0 1, TestD_0_5/TestD_0_0, depth: 10, matchCount: 100, results: 5.116295870176634
TestD_3_2, bhcknsbn/wccnpnlr/8/8/8/8/FZAACBFS/RIKHCSZF w - - 0 1, TestD_0_0/TestD_0_4, depth: 10, matchCount: 100, results: 9.08412913254617
TestD_4_0, hiwkwhcp/qrhqqwza/8/8/8/8/CCFSWZPN/SRQQKFBC w - - 0 1, TestD_0_4/TestD_0_5, depth: 10, matchCount: 100, results: 0.0
TestD_4_1, klffzwpq/qhnsrfrc/8/8/8/8/SAAIPQAH/HQKNZPPI w - - 0 1, TestD_0_5/TestD_0_0, depth: 10, matchCount: 100, results: 16.851665760650775
TestD_4_2, bchkhrbn/lncwpnwr/8/8/8/8/RIFQCBAS/FIFHCCHK w - - 0 1, TestD_0_0/TestD_0_4, depth: 10, matchCount: 100, results: 0.0
TestD_5_0, hiqkcwpr/wzqqqfrc/8/8/8/8/CAFQPSNH/SCQQZKPI w - - 0 1, TestD_0_4/TestD_4_1, depth: 10, matchCount: 100, results: 0.0
TestD_5_1, kwffwhba/qhnsaazh/8/8/8/8/SAAPWPCN/HWRRKINF w - - 0 1, TestD_4_1/TestD_0_5, depth: 10, matchCount: 100, results: 3.18255500060171
TestD_5_2, khnfnhrq/hsfrpnwr/8/8/8/8/WAALCBCS/PQRNCKFH w - - 0 1, TestD_0_5/TestD_0_4, depth: 10, matchCount: 100, results: 15.347144688255922
TestD_6_0, hiwkzcpq/qccrrhqw/8/8/8/8/CCFAPRAS/SQQQZKPI w - - 0 1, TestD_0_4/TestD_4_1, depth: 10, matchCount: 100, results: 0.0
TestD_6_1, klffwrab/qhnahnws/8/8/8/8/SAIICPAW/HQKNZSRF w - - 0 1, TestD_4_1/TestD_0_5, depth: 10, matchCount: 100, results: 1.6146236527604063
TestD_6_2, karfnsbn/fhqrrnwr/8/8/8/8/CAAFCBAS/PRKWCQHF w - - 0 1, TestD_0_5/TestD_0_4, depth: 10, matchCount: 100, results: 11.461178866993757
TestD_7_0, qiwkqwpq/hczqbfrf/8/8/8/8/CCFPBQAH/KRSQZPPI w - - 0 1, TestD_0_4/TestD_4_1, depth: 10, matchCount: 100, results: 2.136915448010437
TestD_7_1, klfffahb/qhnzhwzw/8/8/8/8/SNAIWPNN/FQINKCRH w - - 0 1, TestD_4_1/TestD_0_5, depth: 10, matchCount: 100, results: 2.5207697595412264
TestD_7_2, kanfnsph/fhfnbrwr/8/8/8/8/CAACNSSS/PQCRCKHF w - - 0 1, TestD_0_5/TestD_0_4, depth: 10, matchCount: 100, results: 2.958077906235351
